Region_Name,Country_Name,Year,Sex,Number,Percent_cause_specific_deaths,Death_rate_per_100000
Asia,United Arab Emirates,2020,Male,32.0,0.41666667,0.46808611
Asia,United Arab Emirates,2020,Male,0.0,0.0,0.0
Asia,United Arab Emirates,2020,Male,0.0,0.0,0.0
Asia,United Arab Emirates,2020,Male,0.0,0.0,0.0
Asia,United Arab Emirates,2020,Male,0.0,0.0,0.0
Asia,United Arab Emirates,2020,Male,0.0,0.0,0.0
Asia,United Arab Emirates,2020,Male,0.0,0.0,0.0
Asia,United Arab Emirates,2020,Male,0.0,0.0,0.0
Asia,United Arab Emirates,2020,Male,0.0,0.0,0.0
Asia,United Arab Emirates,2020,Male,0.0,0.0,0.0
Asia,United Arab Emirates,2020,Male,0.0,0.0,0.0
Asia,United Arab Emirates,2020,Male,1.0,0.13947001,0.18720527
Asia,United Arab Emirates,2020,Male,0.0,0.0,0.0
Asia,United Arab Emirates,2020,Male,4.0,0.50377834,1.56695603
Asia,United Arab Emirates,2020,Male,4.0,0.53333333,2.78377062
Asia,United Arab Emirates,2020,Male,3.0,0.57034221,8.14818839
Asia,United Arab Emirates,2020,Male,4.0,0.95011876,16.53644218
Asia,United Arab Emirates,2020,Male,7.0,1.98863636,47.88616774
Asia,United Arab Emirates,2020,Male,3.0,1.01351351,68.10442679
Asia,United Arab Emirates,2020,Male,6.0,1.59574468,196.39934534
Asia,United Arab Emirates,2020,Male,0.0,,
Asia,United Arab Emirates,2019,Male,22.0,0.35639073,0.32511646
Asia,United Arab Emirates,2019,Male,0.0,0.0,0.0
Asia,United Arab Emirates,2019,Male,0.0,0.0,0.0
Asia,United Arab Emirates,2019,Male,0.0,0.0,0.0
Asia,United Arab Emirates,2019,Male,0.0,0.0,0.0
Asia,United Arab Emirates,2019,Male,0.0,0.0,0.0
Asia,United Arab Emirates,2019,Male,0.0,0.0,0.0
Asia,United Arab Emirates,2019,Male,0.0,0.0,0.0
Asia,United Arab Emirates,2019,Male,0.0,0.0,0.0
Asia,United Arab Emirates,2019,Male,0.0,0.0,0.0
Asia,United Arab Emirates,2019,Male,0.0,0.0,0.0
Asia,United Arab Emirates,2019,Male,0.0,0.0,0.0
Asia,United Arab Emirates,2019,Male,1.0,0.18621974,0.30071932
Asia,United Arab Emirates,2019,Male,2.0,0.39447732,0.81387494
Asia,United Arab Emirates,2019,Male,2.0,0.43668122,1.61792663
Asia,United Arab Emirates,2019,Male,4.0,1.06100796,13.02252898
Asia,United Arab Emirates,2019,Male,4.0,1.15942029,16.86625063
Asia,United Arab Emirates,2019,Male,4.0,1.19760479,30.28238322
Asia,United Arab Emirates,2019,Male,1.0,0.39215686,26.40612622
Asia,United Arab Emirates,2019,Male,4.0,1.11111111,130.67624959
Asia,United Arab Emirates,2019,Male,0.0,,
Central and South America,Argentina,2020,Male,3523.0,1.80303286,15.97794309
Central and South America,Argentina,2020,Male,0.0,0.0,0.0
Central and South America,Argentina,2020,Male,0.0,0.0,0.0
Central and South America,Argentina,2020,Male,0.0,0.0,0.0
Central and South America,Argentina,2020,Male,0.0,0.0,0.0
Central and South America,Argentina,2020,Male,0.0,0.0,0.0
Central and South America,Argentina,2020,Male,2.0,0.09128252,0.11345986
Central and South America,Argentina,2020,Male,3.0,0.1285898,0.16899409
Central and South America,Argentina,2020,Male,2.0,0.08680556,0.12057316
Central and South America,Argentina,2020,Male,1.0,0.03677823,0.06450377
Central and South America,Argentina,2020,Male,2.0,0.0508647,0.13173877
Central and South America,Argentina,2020,Male,11.0,0.20801815,0.86053874
Central and South America,Argentina,2020,Male,30.0,0.38794776,2.71869894
Central and South America,Argentina,2020,Male,97.0,0.84070029,9.66719919
Central and South America,Argentina,2020,Male,175.0,1.02880658,19.95291113
Central and South America,Argentina,2020,Male,400.0,1.74269159,53.63720598
Central and South America,Argentina,2020,Male,582.0,2.21993363,100.53966653
Central and South America,Argentina,2020,Male,675.0,2.54036355,174.9892414
Central and South America,Argentina,2020,Male,691.0,2.83359305,302.76740803
Central and South America,Argentina,2020,Male,842.0,2.49762696,527.31781858
Central and South America,Argentina,2020,Male,10.0,0.63291139,
Central and South America,Argentina,2019,Male,3723.0,2.1366712,17.04559892
Central and South America,Argentina,2019,Male,0.0,0.0,0.0
Central and South America,Argentina,2019,Male,0.0,0.0,0.0
Central and South America,Argentina,2019,Male,0.0,0.0,0.0
Central and South America,Argentina,2019,Male,0.0,0.0,0.0
Central and South America,Argentina,2019,Male,0.0,0.0,0.0
Central and South America,Argentina,2019,Male,1.0,0.04029009,0.0565923
Central and South America,Argentina,2019,Male,0.0,0.0,0.0
Central and South America,Argentina,2019,Male,0.0,0.0,0.0
Central and South America,Argentina,2019,Male,1.0,0.0373413,0.06467996
Central and South America,Argentina,2019,Male,4.0,0.11594203,0.26876193
Central and South America,Argentina,2019,Male,3.0,0.06564551,0.24220191
Central and South America,Argentina,2019,Male,18.0,0.27769207,1.6576402
Central and South America,Argentina,2019,Male,85.0,0.84932054,8.5769178
Central and South America,Argentina,2019,Male,213.0,1.46351518,24.60399694
Central and South America,Argentina,2019,Male,413.0,2.1049949,56.25469073
Central and South America,Argentina,2019,Male,595.0,2.63355907,105.70129702
Central and South America,Argentina,2019,Male,721.0,3.13410128,193.21574239
Central and South America,Argentina,2019,Male,737.0,3.393186,328.61295903
Central and South America,Argentina,2019,Male,918.0,2.95281289,563.17290881
Central and South America,Argentina,2019,Male,14.0,1.23348018,
Asia,Armenia,2021,Male,202.0,1.16938752,14.4699866
Asia,Armenia,2021,Male,0.0,0.0,0.0
Asia,Armenia,2021,Male,0.0,0.0,0.0
Asia,Armenia,2021,Male,0.0,0.0,0.0
Asia,Armenia,2021,Male,0.0,0.0,0.0
Asia,Armenia,2021,Male,0.0,0.0,0.0
Asia,Armenia,2021,Male,0.0,0.0,0.0
Asia,Armenia,2021,Male,0.0,0.0,0.0
Asia,Armenia,2021,Male,0.0,0.0,0.0
Asia,Armenia,2021,Male,0.0,0.0,0.0
Asia,Armenia,2021,Male,0.0,0.0,0.0
Asia,Armenia,2021,Male,0.0,0.0,0.0
Asia,Armenia,2021,Male,4.0,0.57388809,5.84001285
Asia,Armenia,2021,Male,9.0,0.71428571,11.05298062
Asia,Armenia,2021,Male,23.0,1.08133521,27.04482386
Asia,Armenia,2021,Male,26.0,1.09060403,44.33909173
Asia,Armenia,2021,Male,30.0,1.31348511,83.42370902
Asia,Armenia,2021,Male,30.0,1.89633375,183.31805683
Asia,Armenia,2021,Male,48.0,1.70818505,255.12915914
Asia,Armenia,2021,Male,32.0,1.22417751,253.82723884
Asia,Armenia,2021,Male,0.0,,
Asia,Armenia,2020,Male,241.0,1.20313514,17.29151704
Asia,Armenia,2020,Male,0.0,0.0,0.0
Asia,Armenia,2020,Male,0.0,0.0,0.0
Asia,Armenia,2020,Male,0.0,0.0,0.0
Asia,Armenia,2020,Male,0.0,0.0,0.0
Asia,Armenia,2020,Male,0.0,0.0,0.0
Asia,Armenia,2020,Male,0.0,0.0,0.0
Asia,Armenia,2020,Male,0.0,0.0,0.0
Asia,Armenia,2020,Male,0.0,0.0,0.0
Asia,Armenia,2020,Male,0.0,0.0,0.0
Asia,Armenia,2020,Male,0.0,0.0,0.0
Asia,Armenia,2020,Male,1.0,0.18726592,1.36785807
Asia,Armenia,2020,Male,3.0,0.42134831,4.26130311
Asia,Armenia,2020,Male,13.0,0.94959825,15.24801483
Asia,Armenia,2020,Male,22.0,1.07317073,26.12950734
Asia,Armenia,2020,Male,29.0,1.2575889,53.12133646
Asia,Armenia,2020,Male,37.0,1.68029064,109.48041188
Asia,Armenia,2020,Male,29.0,1.78242163,181.87519599
Asia,Armenia,2020,Male,59.0,2.02401372,280.51157705
Asia,Armenia,2020,Male,48.0,1.79573513,430.37747691
Asia,Armenia,2020,Male,0.0,,
Asia,Armenia,2019,Male,183.0,1.36740641,13.07733205
Asia,Armenia,2019,Male,0.0,0.0,0.0
Asia,Armenia,2019,Male,0.0,0.0,0.0
Asia,Armenia,2019,Male,0.0,0.0,0.0
Asia,Armenia,2019,Male,0.0,0.0,0.0
Asia,Armenia,2019,Male,0.0,0.0,0.0
Asia,Armenia,2019,Male,0.0,0.0,0.0
Asia,Armenia,2019,Male,0.0,0.0,0.0
Asia,Armenia,2019,Male,0.0,0.0,0.0
Asia,Armenia,2019,Male,0.0,0.0,0.0
Asia,Armenia,2019,Male,0.0,0.0,0.0
Asia,Armenia,2019,Male,0.0,0.0,0.0
Asia,Armenia,2019,Male,2.0,0.30864198,2.71879503
Asia,Armenia,2019,Male,11.0,0.90684254,11.96276318
Asia,Armenia,2019,Male,29.0,1.8102372,35.71472555
Asia,Armenia,2019,Male,25.0,1.49611011,44.98182734
Asia,Armenia,2019,Male,25.0,1.82882224,83.48639172
