Cancer id,Cancer label,Population id,Population,Sex,Type,Cases base in 2022,Year,Prediction,Change in number of cases,Change in number of cases due to population,Change in number of cases due to risk
"27,28,26",Penis; Prostate; Testis,12,Algeria,0,1,1364,2022,1364,0,0,0
"27,28,26",Penis; Prostate; Testis,12,Algeria,0,1,1364,2025,1190,-174,-12.7566,0
"27,28,26",Penis; Prostate; Testis,12,Algeria,0,1,1364,2030,1567,203,14.8827,0
"27,28,26",Penis; Prostate; Testis,12,Algeria,0,1,1364,2035,2107,743,54.4721,0
"27,28,26",Penis; Prostate; Testis,12,Algeria,0,1,1364,2040,2792,1428,104.6921,0
"27,28,26",Penis; Prostate; Testis,12,Algeria,0,1,1364,2045,3612,2248,164.8094,0
"27,28,26",Penis; Prostate; Testis,12,Algeria,0,1,1364,2050,4602,3238,237.39,0
"27,28,26",Penis; Prostate; Testis,24,Angola,0,1,1464,2022,1464,0,0,0
"27,28,26",Penis; Prostate; Testis,24,Angola,0,1,1464,2025,1867,403,27.5273,0
"27,28,26",Penis; Prostate; Testis,24,Angola,0,1,1464,2030,2302,838,57.2404,0
"27,28,26",Penis; Prostate; Testis,24,Angola,0,1,1464,2035,2815,1351,92.2814,0
"27,28,26",Penis; Prostate; Testis,24,Angola,0,1,1464,2040,3417,1953,133.4016,0
"27,28,26",Penis; Prostate; Testis,24,Angola,0,1,1464,2045,4140,2676,182.7869,0
"27,28,26",Penis; Prostate; Testis,24,Angola,0,1,1464,2050,5022,3558,243.0328,0
"27,28,26",Penis; Prostate; Testis,72,Botswana,0,1,90,2022,90,0,0,0
"27,28,26",Penis; Prostate; Testis,72,Botswana,0,1,90,2025,94,4,4.4444,0
"27,28,26",Penis; Prostate; Testis,72,Botswana,0,1,90,2030,116,26,28.8889,0
"27,28,26",Penis; Prostate; Testis,72,Botswana,0,1,90,2035,144,54,60,0
"27,28,26",Penis; Prostate; Testis,72,Botswana,0,1,90,2040,179,89,98.8889,0
"27,28,26",Penis; Prostate; Testis,72,Botswana,0,1,90,2045,219,129,143.3333,0
"27,28,26",Penis; Prostate; Testis,72,Botswana,0,1,90,2050,265,175,194.4444,0
"27,28,26",Penis; Prostate; Testis,108,Burundi,0,1,513,2022,513,0,0,0
"27,28,26",Penis; Prostate; Testis,108,Burundi,0,1,513,2025,559,46,8.9669,0
"27,28,26",Penis; Prostate; Testis,108,Burundi,0,1,513,2030,686,173,33.7232,0
"27,28,26",Penis; Prostate; Testis,108,Burundi,0,1,513,2035,845,332,64.7173,0
"27,28,26",Penis; Prostate; Testis,108,Burundi,0,1,513,2040,1065,552,107.6023,0
"27,28,26",Penis; Prostate; Testis,108,Burundi,0,1,513,2045,1371,858,167.2515,0
"27,28,26",Penis; Prostate; Testis,108,Burundi,0,1,513,2050,1762,1249,243.4698,0
"27,28,26",Penis; Prostate; Testis,120,Cameroon,0,1,1150,2022,1150,0,0,0
"27,28,26",Penis; Prostate; Testis,120,Cameroon,0,1,1150,2025,1279,129,11.2174,0
"27,28,26",Penis; Prostate; Testis,120,Cameroon,0,1,1150,2030,1556,406,35.3043,0
"27,28,26",Penis; Prostate; Testis,120,Cameroon,0,1,1150,2035,1914,764,66.4348,0
"27,28,26",Penis; Prostate; Testis,120,Cameroon,0,1,1150,2040,2374,1224,106.4348,0
"27,28,26",Penis; Prostate; Testis,120,Cameroon,0,1,1150,2045,2942,1792,155.8261,0
"27,28,26",Penis; Prostate; Testis,120,Cameroon,0,1,1150,2050,3623,2473,215.0435,0
"27,28,26",Penis; Prostate; Testis,132,Cape Verde,0,1,37,2022,37,0,0,0
"27,28,26",Penis; Prostate; Testis,132,Cape Verde,0,1,37,2025,43,6,16.2162,0
"27,28,26",Penis; Prostate; Testis,132,Cape Verde,0,1,37,2030,55,18,48.6486,0
"27,28,26",Penis; Prostate; Testis,132,Cape Verde,0,1,37,2035,74,37,100,0
"27,28,26",Penis; Prostate; Testis,132,Cape Verde,0,1,37,2040,101,64,172.973,0
"27,28,26",Penis; Prostate; Testis,132,Cape Verde,0,1,37,2045,134,97,262.1622,0
"27,28,26",Penis; Prostate; Testis,132,Cape Verde,0,1,37,2050,172,135,364.8649,0
"27,28,26",Penis; Prostate; Testis,140,Central African Republic,0,1,174,2022,174,0,0,0
"27,28,26",Penis; Prostate; Testis,140,Central African Republic,0,1,174,2025,214,40,22.9885,0
"27,28,26",Penis; Prostate; Testis,140,Central African Republic,0,1,174,2030,249,75,43.1034,0
"27,28,26",Penis; Prostate; Testis,140,Central African Republic,0,1,174,2035,277,103,59.1954,0
"27,28,26",Penis; Prostate; Testis,140,Central African Republic,0,1,174,2040,301,127,72.9885,0
"27,28,26",Penis; Prostate; Testis,140,Central African Republic,0,1,174,2045,331,157,90.2299,0
"27,28,26",Penis; Prostate; Testis,140,Central African Republic,0,1,174,2050,377,203,116.6667,0
"27,28,26",Penis; Prostate; Testis,148,Chad,0,1,1526,2022,1526,0,0,0
"27,28,26",Penis; Prostate; Testis,148,Chad,0,1,1526,2025,1511,-15,-0.983,0
"27,28,26",Penis; Prostate; Testis,148,Chad,0,1,1526,2030,1878,352,23.0668,0
"27,28,26",Penis; Prostate; Testis,148,Chad,0,1,1526,2035,2317,791,51.8349,0
"27,28,26",Penis; Prostate; Testis,148,Chad,0,1,1526,2040,2819,1293,84.7313,0
"27,28,26",Penis; Prostate; Testis,148,Chad,0,1,1526,2045,3375,1849,121.1664,0
"27,28,26",Penis; Prostate; Testis,148,Chad,0,1,1526,2050,4002,2476,162.2543,0
"27,28,26",Penis; Prostate; Testis,174,Comoros,0,1,39,2022,39,0,0,0
"27,28,26",Penis; Prostate; Testis,174,Comoros,0,1,39,2025,52,13,33.3333,0
"27,28,26",Penis; Prostate; Testis,174,Comoros,0,1,39,2030,61,22,56.4103,0
"27,28,26",Penis; Prostate; Testis,174,Comoros,0,1,39,2035,73,34,87.1795,0
"27,28,26",Penis; Prostate; Testis,174,Comoros,0,1,39,2040,86,47,120.5128,0
"27,28,26",Penis; Prostate; Testis,174,Comoros,0,1,39,2045,102,63,161.5385,0
"27,28,26",Penis; Prostate; Testis,174,Comoros,0,1,39,2050,119,80,205.1282,0
"27,28,26",Penis; Prostate; Testis,178,"Congo, Republic of",0,1,252,2022,252,0,0,0
"27,28,26",Penis; Prostate; Testis,178,"Congo, Republic of",0,1,252,2025,291,39,15.4762,0
"27,28,26",Penis; Prostate; Testis,178,"Congo, Republic of",0,1,252,2030,365,113,44.8413,0
"27,28,26",Penis; Prostate; Testis,178,"Congo, Republic of",0,1,252,2035,466,214,84.9206,0
"27,28,26",Penis; Prostate; Testis,178,"Congo, Republic of",0,1,252,2040,586,334,132.5397,0
"27,28,26",Penis; Prostate; Testis,178,"Congo, Republic of",0,1,252,2045,720,468,185.7143,0
"27,28,26",Penis; Prostate; Testis,178,"Congo, Republic of",0,1,252,2050,862,610,242.0635,0
"27,28,26",Penis; Prostate; Testis,180,"Congo, Democratic Republic of",0,1,4895,2022,4895,0,0,0
"27,28,26",Penis; Prostate; Testis,180,"Congo, Democratic Republic of",0,1,4895,2025,5168,273,5.5771,0
"27,28,26",Penis; Prostate; Testis,180,"Congo, Democratic Republic of",0,1,4895,2030,6190,1295,26.4556,0
"27,28,26",Penis; Prostate; Testis,180,"Congo, Democratic Republic of",0,1,4895,2035,7377,2482,50.7048,0
"27,28,26",Penis; Prostate; Testis,180,"Congo, Democratic Republic of",0,1,4895,2040,8775,3880,79.2646,0
"27,28,26",Penis; Prostate; Testis,180,"Congo, Democratic Republic of",0,1,4895,2045,10433,5538,113.1359,0
"27,28,26",Penis; Prostate; Testis,180,"Congo, Democratic Republic of",0,1,4895,2050,12442,7547,154.1777,0
"27,28,26",Penis; Prostate; Testis,204,Benin,0,1,618,2022,618,0,0,0
"27,28,26",Penis; Prostate; Testis,204,Benin,0,1,618,2025,678,60,9.7087,0
"27,28,26",Penis; Prostate; Testis,204,Benin,0,1,618,2030,829,211,34.1424,0
"27,28,26",Penis; Prostate; Testis,204,Benin,0,1,618,2035,1007,389,62.945,0
"27,28,26",Penis; Prostate; Testis,204,Benin,0,1,618,2040,1219,601,97.2492,0
"27,28,26",Penis; Prostate; Testis,204,Benin,0,1,618,2045,1464,846,136.8932,0
"27,28,26",Penis; Prostate; Testis,204,Benin,0,1,618,2050,1755,1137,183.9806,0
"27,28,26",Penis; Prostate; Testis,226,Equatorial Guinea,0,1,45,2022,45,0,0,0
"27,28,26",Penis; Prostate; Testis,226,Equatorial Guinea,0,1,45,2025,76,31,68.8889,0
